iter	Logloss
0	0.6875373931
1	0.6839779229
2	0.6804269328
3	0.6771806371
4	0.6723448828
5	0.669161441
6	0.6668313607
7	0.6644865522
8	0.6613504634
9	0.6585517965
10	0.6550910012
11	0.6522938851
12	0.6502951419
13	0.6473769263
14	0.6452337723
15	0.6419490489
16	0.6398545417
17	0.6362437526
18	0.6334244902
19	0.6308235991
20	0.6282463237
21	0.625157885
22	0.6230677168
23	0.6204642671
24	0.6177198004
25	0.6153261257
26	0.6136693891
27	0.6114184566
28	0.6091159215
29	0.6078070492
30	0.6056011714
31	0.6027633214
32	0.6009896607
33	0.5980970573
34	0.5968506594
35	0.5956016616
36	0.5935048299
37	0.5920880896
38	0.5902319511
39	0.5886536015
40	0.5857869589
41	0.5848768274
42	0.5825963238
43	0.5811018543
44	0.5782339694
45	0.5771001445
46	0.5748547947
47	0.5722092942
48	0.5698272185
49	0.5683654887
50	0.5663083851
51	0.5647651444
52	0.5620105684
53	0.5602539133
54	0.5581826996
55	0.5568273074
56	0.5541983681
57	0.5518385931
58	0.5503054432
59	0.5485985833
60	0.5457950489
61	0.5445379947
62	0.5436293892
63	0.5422948421
64	0.5401869226
65	0.5384789799
66	0.5380509512
67	0.5367429095
68	0.5353842725
69	0.5333691256
70	0.5319472667
71	0.5309074619
72	0.5288704569
73	0.5264454434
74	0.524732114
75	0.5226605573
76	0.5217188928
77	0.5197761946
78	0.5188454563
79	0.5175320099
80	0.5165105197
81	0.5128821534
82	0.5117948609
83	0.5109409585
84	0.5099733474
85	0.5086202556
86	0.5070413219
87	0.5051766115
88	0.5041208914
89	0.5034415088
90	0.5022968727
91	0.5003439327
92	0.4980419879
93	0.4972941545
94	0.4959405068
95	0.494562553
96	0.4926769742
97	0.4916845137
98	0.490294519
99	0.4883180068
100	0.4871666452
101	0.4861188564
102	0.4848192414
103	0.483819176
104	0.4826201002
105	0.4814672002
106	0.4798023718
107	0.4782920429
108	0.4771631251
109	0.4760267456
110	0.4743257576
111	0.4737852831
112	0.4730078958
113	0.4719218893
114	0.4706892552
115	0.4693188374
116	0.4684594062
117	0.4674032177
118	0.4662818655
119	0.4655061282
120	0.4643773787
121	0.4633100597
122	0.4622233607
123	0.4603026248
124	0.4588859945
125	0.4581868108
126	0.4567662913
127	0.4561069947
128	0.4550942099
129	0.4536755426
130	0.4519008156
131	0.4510960326
132	0.4500277031
133	0.4483425069
134	0.4476218729
135	0.4463412416
136	0.445208023
137	0.4439283201
138	0.4419651772
139	0.4409019706
140	0.4388609297
141	0.4383393886
142	0.4368226472
143	0.4350774072
144	0.4341536597
145	0.4330425482
146	0.4312670112
147	0.4298584212
148	0.428782817
149	0.4276175985
150	0.4258003777
151	0.424586918
152	0.4234385302
153	0.4223501427
154	0.4205460881
155	0.4197799384
156	0.4184894388
157	0.4178247998
158	0.4168922899
159	0.4155039109
160	0.4137748929
161	0.4123661993
162	0.4114343278
163	0.4105917162
164	0.4090022978
165	0.4076419839
166	0.4065222741
167	0.405380222
168	0.4041391984
169	0.4029637653
170	0.4012813704
171	0.4002386843
172	0.3986722084
173	0.3973073874
174	0.3963496515
175	0.3945384791
176	0.3930362282
177	0.3921765267
178	0.3913981367
179	0.390850371
180	0.3903263057
181	0.3887744727
182	0.3873721368
183	0.3858425165
184	0.3846717207
185	0.3837338662
186	0.3823917148
187	0.3814397631
188	0.3801533978
189	0.378873823
190	0.3776490541
191	0.3768774853
192	0.3755272422
193	0.3742572039
194	0.3729310557
195	0.3716241248
196	0.3700084173
197	0.3683918587
198	0.3672383017
199	0.365677039
200	0.3643174248
201	0.3630836301
202	0.3617779246
203	0.3597633848
204	0.358575635
205	0.3576995365
206	0.3563809261
207	0.3553281487
208	0.3537094515
209	0.3527576027
210	0.3519747706
211	0.3506466026
212	0.3492658285
213	0.3482540205
214	0.3471718358
215	0.3458130371
216	0.3446486262
217	0.3440726688
218	0.3434539176
219	0.3419123838
220	0.3410869293
221	0.3398027528
222	0.3389200141
223	0.3376343532
224	0.3365437651
225	0.335089565
226	0.3337998027
227	0.3332664234
228	0.3321108927
229	0.3314154801
230	0.3305512348
231	0.3298217274
232	0.329145224
233	0.3277946091
234	0.3257638937
235	0.3242373947
236	0.323471735
237	0.3220873787
238	0.320718072
239	0.3197480482
240	0.3190424079
241	0.3184759764
242	0.3174819769
243	0.3165959729
244	0.316153854
245	0.31565698
246	0.3148855381
247	0.3134989172
248	0.3126016854
249	0.311768495
250	0.3107163854
251	0.3097412659
252	0.3088017115
253	0.3078431293
254	0.3066535189
255	0.3053547159
256	0.3039619757
257	0.3031883764
258	0.3024598462
259	0.3012385507
260	0.3004067348
261	0.2994665468
262	0.2984594074
263	0.2973388671
264	0.2968085523
265	0.2958055513
266	0.294697051
267	0.2935472629
268	0.2928517835
269	0.2920759637
270	0.2909765075
271	0.2898139667
272	0.2890546754
273	0.2876713077
274	0.2868172829
275	0.2856792158
276	0.2843656761
277	0.2833274497
278	0.2821669931
279	0.2808736579
280	0.2802665675
281	0.2794206845
282	0.2786095776
283	0.2770993944
284	0.2763079646
285	0.2754623492
286	0.2745747878
287	0.2741623496
288	0.2730483103
289	0.2723155433
290	0.2713787407
291	0.2698847292
292	0.2689179579
293	0.2684240602
294	0.2678636396
295	0.2661019998
296	0.2654500517
297	0.2647075378
298	0.2639868441
299	0.2630476586
